step,db_id,n_icl,correct,cumulative_regret,mem_size
0,card_games,0,0,1.0000,0
1,codebase_community,0,0,2.0000,0
2,formula_1,0,0,3.0000,0
3,student_club,0,0,4.0000,0
4,california_schools,0,0,5.0000,0
5,toxicology,0,1,5.0000,1
6,european_football_2,1,1,5.0000,2
7,toxicology,2,0,6.0000,2
8,student_club,2,0,7.0000,2
9,california_schools,2,0,8.0000,2
10,california_schools,2,0,9.0000,2
11,student_club,2,0,10.0000,2
12,thrombosis_prediction,2,0,11.0000,2
13,thrombosis_prediction,2,0,12.0000,2
14,financial,2,1,12.0000,3
15,superhero,3,1,12.0000,4
16,superhero,3,1,12.0000,5
17,card_games,3,0,13.0000,5
18,superhero,3,1,13.0000,6
19,thrombosis_prediction,3,0,14.0000,6
20,california_schools,3,0,15.0000,6
21,student_club,3,0,16.0000,6
22,california_schools,3,0,17.0000,6
23,card_games,3,0,18.0000,6
24,superhero,3,0,19.0000,6
25,thrombosis_prediction,3,0,20.0000,6
26,codebase_community,3,1,20.0000,7
27,toxicology,3,0,21.0000,7
28,thrombosis_prediction,3,1,21.0000,8
29,codebase_community,3,1,21.0000,9
30,student_club,3,0,22.0000,9
31,thrombosis_prediction,3,0,23.0000,9
32,superhero,3,0,24.0000,9
33,student_club,3,1,24.0000,10
34,codebase_community,3,1,24.0000,11
35,thrombosis_prediction,3,0,25.0000,11
36,thrombosis_prediction,3,0,26.0000,11
37,superhero,3,0,27.0000,11
38,codebase_community,3,0,28.0000,11
39,california_schools,3,1,28.0000,12
40,superhero,3,1,28.0000,13
41,california_schools,3,0,29.0000,13
42,formula_1,3,0,30.0000,13
43,card_games,3,0,31.0000,13
44,formula_1,3,0,32.0000,13
45,toxicology,3,0,33.0000,13
46,superhero,3,1,33.0000,14
47,formula_1,3,0,34.0000,14
48,codebase_community,3,1,34.0000,15
49,codebase_community,3,1,34.0000,16
50,card_games,3,1,34.0000,17
51,student_club,3,0,35.0000,17
52,formula_1,3,1,35.0000,18
53,toxicology,3,0,36.0000,18
54,california_schools,3,1,36.0000,19
55,toxicology,3,0,37.0000,19
56,superhero,3,1,37.0000,20
57,card_games,3,0,38.0000,20
58,card_games,3,0,39.0000,20
59,superhero,3,1,39.0000,21
60,student_club,3,0,40.0000,21
61,european_football_2,3,1,40.0000,22
62,financial,3,0,41.0000,22
63,formula_1,3,0,42.0000,22
64,student_club,3,0,43.0000,22
65,financial,3,0,44.0000,22
66,thrombosis_prediction,3,1,44.0000,23
67,toxicology,3,0,45.0000,23
68,debit_card_specializing,3,0,46.0000,23
69,california_schools,3,0,47.0000,23
70,toxicology,3,1,47.0000,24
71,codebase_community,3,0,48.0000,24
72,student_club,3,1,48.0000,25
73,card_games,3,0,49.0000,25
74,student_club,3,1,49.0000,26
75,formula_1,3,0,50.0000,26
76,toxicology,3,0,51.0000,26
77,financial,3,0,52.0000,26
78,european_football_2,3,0,53.0000,26
79,card_games,3,0,54.0000,26
80,toxicology,3,0,55.0000,26
81,financial,3,0,56.0000,26
82,codebase_community,3,0,57.0000,26
83,superhero,3,1,57.0000,27
84,toxicology,3,0,58.0000,27
85,codebase_community,3,0,59.0000,27
86,thrombosis_prediction,3,1,59.0000,28
87,formula_1,3,0,60.0000,28
