batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.2000,8.0000,0,0,2,0.186306,2,4.4,0.0,9.0
1,10,0.3000,14.0000,10,1,7,0.081244,7,4.4,4.9,16.3
2,10,0.3333,20.0000,20,0,11,0.034452,11,4.5,9.9,23.6
3,10,0.3250,27.0000,30,0,14,0.065335,14,7.1,14.5,28.4
4,10,0.3200,34.0000,40,0,17,0.028178,17,3.8,18.4,34.5
5,10,0.3500,39.0000,50,1,23,0.030345,23,3.1,32.2,45.3
6,10,0.3286,47.0000,60,0,25,0.014478,25,4.1,39.9,49.4
7,10,0.3375,53.0000,70,0,29,0.013521,29,4.5,44.5,56.6
8,10,0.3222,61.0000,80,0,31,0.007778,31,5.3,52.1,61.1
9,10,0.3200,68.0000,90,0,34,0.006728,34,4.4,56.8,66.6
10,10,0.3091,76.0000,90,1,34,0.005929,37,4.6,54.1,68.1
11,10,0.3250,81.0000,90,3,38,0.007441,45,3.5,57.5,74.7
12,10,0.3308,87.0000,90,0,38,0.003790,49,3.9,58.1,76.0
13,10,0.3143,96.0000,90,0,36,0.004322,50,5.6,58.6,71.8
14,10,0.3133,103.0000,90,0,35,0.001965,53,5.3,59.8,70.2
15,10,0.3125,110.0000,90,2,35,0.002838,58,4.6,64.2,69.1
16,10,0.3294,114.0000,90,2,40,0.003588,66,3.8,66.9,78.7
17,10,0.3278,121.0000,90,1,38,0.002485,70,5.5,71.3,50.3
18,10,0.3263,128.0000,90,0,37,0.005970,73,3.5,61.9,47.5
19,10,0.3300,134.0000,90,0,37,0.003942,77,4.3,62.7,47.2
20,10,0.3333,140.0000,90,0,38,0.002117,81,3.6,58.9,48.6
21,10,0.3318,147.0000,90,0,36,0.005780,84,4.1,58.7,47.6
22,10,0.3391,152.0000,90,0,35,0.003131,89,3.5,57.5,46.0
23,10,0.3333,160.0000,90,0,36,0.002324,91,4.6,54.6,47.1
24,10,0.3440,164.0000,90,0,39,0.011023,97,7.8,53.4,50.5
25,10,0.3462,170.0000,90,1,41,0.002419,102,3.8,53.1,53.2
26,10,0.3481,176.0000,90,1,39,0.002816,107,3.8,51.5,51.1
27,10,0.3500,182.0000,90,1,41,0.001901,112,5.9,49.2,61.8
28,10,0.3414,191.0000,90,0,39,0.001127,113,4.1,52.0,59.3
29,10,0.3500,195.0000,90,1,42,0.009765,120,5.8,56.8,92.0
30,10,0.3548,200.0000,90,0,43,0.004570,125,4.8,53.8,94.9
31,10,0.3563,206.0000,90,0,43,0.003013,129,4.0,58.2,94.8
32,10,0.3545,213.0000,90,0,40,0.003476,132,4.3,59.0,88.6
33,10,0.3529,220.0000,90,0,41,0.004358,135,4.3,60.6,92.1
34,10,0.3571,225.0000,90,0,40,0.004974,140,3.4,55.3,88.5
35,10,0.3500,234.0000,90,0,36,0.007722,141,8.0,52.1,78.6
36,10,0.3486,241.0000,90,2,37,0.005193,146,4.7,58.0,80.2
37,10,0.3474,248.0000,90,0,36,0.010167,149,4.3,55.7,67.9
38,10,0.3436,256.0000,90,0,37,0.009452,151,3.8,63.4,69.6
39,10,0.3400,264.0000,90,1,34,0.008252,154,4.7,54.3,64.8
40,10,0.3390,271.0000,90,2,33,0.004631,159,7.8,54.6,62.5
41,10,0.3357,279.0000,90,1,32,0.013646,162,3.0,60.3,60.8
42,10,0.3326,287.0000,90,0,31,0.004457,164,4.5,63.9,59.1
43,10,0.3273,296.0000,90,0,28,0.001990,165,5.3,60.2,53.5
44,10,0.3267,303.0000,90,0,26,0.007921,168,4.2,64.7,50.1
45,10,0.3196,313.0000,90,1,25,0.010776,169,4.7,58.2,48.6
46,10,0.3191,320.0000,90,0,25,0.013332,172,22.7,57.6,48.8
47,10,0.3250,324.0000,90,1,28,0.008726,179,5.8,81.4,54.0
48,10,0.3265,330.0000,90,1,31,0.011812,184,3.8,85.2,59.2
49,10,0.3240,338.0000,90,0,29,0.005823,186,4.7,71.6,55.8
50,10,0.3255,344.0000,90,2,32,0.009675,192,3.8,68.9,60.4
51,10,0.3288,349.0000,90,1,35,0.009035,198,4.2,86.9,65.9
52,10,0.3340,353.0000,90,0,39,0.010244,204,7.9,77.6,73.4
53,10,0.3352,359.0000,90,0,41,0.008875,208,4.4,79.4,76.3
54,10,0.3382,364.0000,90,1,44,0.012045,214,5.5,74.5,85.8
55,10,0.3339,373.0000,90,0,42,0.004668,215,4.0,79.2,85.4
56,10,0.3333,380.0000,90,0,42,0.006866,218,11.1,59.6,85.3
57,10,0.3310,388.0000,90,2,40,0.010652,222,6.6,77.3,81.3
58,10,0.3288,396.0000,90,0,38,0.008717,224,4.6,72.5,75.2
59,10,0.3300,402.0000,90,0,39,0.003726,228,4.1,63.1,76.8
60,10,0.3311,408.0000,90,2,41,0.008162,234,4.6,98.5,80.6
61,10,0.3339,413.0000,90,0,39,0.006986,239,4.7,64.7,76.7
62,10,0.3365,418.0000,90,2,40,0.007493,246,5.0,66.1,77.9
63,10,0.3359,425.0000,90,0,39,0.005111,249,3.9,70.4,79.8
64,10,0.3385,430.0000,90,1,39,0.007407,255,3.9,67.7,77.9
65,10,0.3379,437.0000,90,1,40,0.005185,259,6.1,69.3,79.8
66,10,0.3373,444.0000,90,0,40,0.006028,262,5.3,58.4,79.2
67,10,0.3338,453.0000,90,0,39,0.002890,263,3.9,60.2,78.0
68,10,0.3348,459.0000,90,0,41,0.002710,267,3.5,54.5,81.4
69,10,0.3343,466.0000,90,1,39,0.011346,271,4.3,51.1,77.9
70,10,0.3380,470.0000,90,1,41,0.005634,278,5.5,50.0,81.3
71,10,0.3403,475.0000,90,0,40,0.004608,283,4.4,51.0,75.7
72,10,0.3384,483.0000,90,0,37,0.002790,285,4.3,53.8,71.3
73,10,0.3378,490.0000,90,1,37,0.002958,289,4.8,52.7,71.8
74,10,0.3347,499.0000,90,1,34,0.008804,291,4.0,50.8,64.7
75,10,0.3355,505.0000,90,1,36,0.007046,296,5.0,46.1,69.0
76,10,0.3364,511.0000,90,0,37,0.011290,300,4.2,77.4,70.7
77,10,0.3385,516.0000,90,0,40,0.006203,305,4.2,78.9,77.3
78,10,0.3367,524.0000,90,2,39,0.010932,309,3.7,82.0,75.8
79,10,0.3387,529.0000,90,1,42,0.010966,315,4.2,79.6,82.0
80,10,0.3407,534.0000,90,0,40,0.010752,320,5.1,77.5,77.3
81,10,0.3402,541.0000,90,0,38,0.006057,323,4.1,74.6,71.2
82,10,0.3386,549.0000,90,1,39,0.005593,326,5.1,76.0,75.2
83,10,0.3369,557.0000,90,0,36,0.007233,328,4.4,83.6,74.3
84,10,0.3353,565.0000,90,0,35,0.004643,330,4.1,80.7,71.8
85,10,0.3384,569.0000,90,0,37,0.002631,336,5.6,51.2,78.3
86,10,0.3402,574.0000,90,1,39,0.003795,342,6.3,52.2,81.6
87,10,0.3398,581.0000,90,0,37,0.003518,345,3.8,61.4,77.1
88,10,0.3416,586.0000,90,0,40,0.007960,350,4.9,59.4,83.1
89,10,0.3400,594.0000,90,0,37,0.003380,352,5.1,63.0,78.6
90,10,0.3396,601.0000,90,0,35,0.003395,355,4.6,61.9,75.0
91,10,0.3413,606.0000,90,0,36,0.004481,360,4.2,62.5,77.0
92,10,0.3430,611.0000,90,0,38,0.009793,365,4.6,59.3,80.9
93,10,0.3436,617.0000,90,0,40,0.004834,369,4.9,62.5,84.9
94,10,0.3463,621.0000,90,1,45,0.005620,376,4.1,64.1,94.4
95,10,0.3479,626.0000,90,1,45,0.007193,382,6.2,65.2,85.9
96,10,0.3485,632.0000,90,0,44,0.006888,386,9.8,64.0,84.3
