batch_idx,n_train,acc_running,cumulative_regret,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
0,10,0.2000,8.0000,-0.503483,0.000000,0.2565,0.0000,21.0,1.4
1,20,0.2500,15.0000,0.045362,0.000000,0.4440,0.0000,13.9,2.3
2,30,0.2333,23.0000,-0.091620,0.000009,0.3977,0.0001,12.6,3.4
3,40,0.2500,30.0000,-0.127666,-0.000104,0.3992,0.0001,3.5,4.4
4,50,0.3000,35.0000,-0.253505,-0.000381,0.3990,0.0000,8.0,5.4
5,60,0.3000,42.0000,-0.268717,-0.000346,0.3953,0.0001,8.3,6.5
6,70,0.2857,50.0000,-0.338504,-0.000257,0.3681,0.0000,17.6,7.6
7,80,0.3125,55.0000,-0.392678,0.000002,0.3734,0.0018,13.5,8.7
8,90,0.3333,60.0000,-0.397849,0.000284,0.3858,0.0027,4.7,10.0
9,100,0.3500,65.0000,-0.515596,0.000605,0.3688,0.0102,21.9,10.9
10,100,0.3364,73.0000,-0.486947,0.001739,0.3760,0.0148,6.3,10.9
11,100,0.3333,80.0000,-0.636657,0.002504,0.3427,0.0204,9.9,10.8
12,100,0.3385,86.0000,-0.614521,0.003889,0.3601,0.0261,7.7,10.8
13,100,0.3286,94.0000,-0.601023,0.006256,0.3569,0.0299,5.0,11.0
14,100,0.3267,101.0000,-0.428204,0.010345,0.3832,0.0270,10.4,10.9
15,100,0.3250,108.0000,-0.403066,0.013302,0.3890,0.0227,4.0,10.8
16,100,0.3235,115.0000,-0.307336,0.018459,0.4171,0.0227,4.3,10.7
17,100,0.3222,122.0000,-0.265127,0.019781,0.4155,0.0240,5.8,10.7
18,100,0.3105,131.0000,-0.233776,0.021528,0.3993,0.0262,7.7,10.7
19,100,0.3050,139.0000,-0.064997,0.025399,0.4242,0.0243,3.8,10.6
20,100,0.3095,145.0000,-0.044848,0.026584,0.4406,0.0251,4.9,10.6
21,99,0.3045,153.0000,-0.053272,0.028775,0.4357,0.0285,28.6,10.7
22,99,0.3043,160.0000,-0.068515,0.030030,0.4266,0.0358,6.9,10.7
23,99,0.3208,163.0000,-0.121480,0.029102,0.4419,0.0365,14.6,10.8
24,99,0.3240,169.0000,-0.237358,0.027038,0.4207,0.0369,9.3,10.7
25,99,0.3154,178.0000,-0.263644,0.025759,0.4023,0.0437,9.6,10.8
26,99,0.3111,186.0000,-0.266146,0.023254,0.3951,0.0391,3.9,11.0
27,99,0.3143,192.0000,-0.223351,0.025454,0.4124,0.0405,4.8,11.0
28,99,0.3241,196.0000,-0.220590,0.026685,0.4403,0.0391,7.3,11.0
29,99,0.3200,204.0000,-0.214554,0.025883,0.4414,0.0401,3.2,10.9
30,99,0.3258,209.0000,-0.248912,0.027692,0.4385,0.0375,4.8,11.0
31,100,0.3312,214.0000,-0.226393,0.027890,0.4545,0.0409,10.5,11.1
32,100,0.3364,219.0000,-0.185787,0.028493,0.4692,0.0416,4.9,10.8
33,100,0.3353,226.0000,-0.127592,0.033973,0.4644,0.0384,4.2,10.9
34,100,0.3343,233.0000,-0.101672,0.034689,0.4658,0.0372,5.6,10.8
35,100,0.3250,243.0000,-0.066441,0.043257,0.4690,0.0380,5.5,10.7
36,100,0.3270,249.0000,-0.161736,0.042989,0.4605,0.0349,9.7,10.5
37,100,0.3289,255.0000,-0.158833,0.040401,0.4612,0.0446,4.6,10.6
38,100,0.3308,261.0000,-0.173499,0.045338,0.4498,0.0492,6.9,10.7
39,100,0.3375,265.0000,-0.170298,0.046121,0.4667,0.0476,6.9,10.7
40,100,0.3317,274.0000,-0.130476,0.047128,0.4586,0.0473,6.9,10.8
41,100,0.3357,279.0000,-0.119359,0.048320,0.4607,0.0490,9.9,10.8
42,100,0.3349,286.0000,-0.112217,0.049858,0.4540,0.0524,8.1,10.8
43,100,0.3341,293.0000,-0.147642,0.047985,0.4466,0.0530,4.6,10.9
44,100,0.3356,299.0000,-0.092618,0.049374,0.4617,0.0577,6.2,10.9
45,100,0.3348,306.0000,-0.120048,0.042440,0.4687,0.0545,5.3,11.0
46,100,0.3383,311.0000,-0.125522,0.046079,0.4720,0.0582,10.0,11.0
47,100,0.3417,316.0000,-0.193378,0.050033,0.4641,0.0606,8.7,10.9
48,100,0.3408,323.0000,-0.198527,0.047411,0.4589,0.0575,5.9,10.8
49,100,0.3440,328.0000,-0.254579,0.045944,0.4440,0.0549,11.4,10.9
50,100,0.3431,335.0000,-0.341389,0.043239,0.4361,0.0494,12.1,10.9
51,100,0.3423,342.0000,-0.377900,0.043362,0.4187,0.0509,16.2,10.9
52,100,0.3415,349.0000,-0.467387,0.040957,0.4008,0.0499,21.7,10.9
53,100,0.3426,355.0000,-0.433010,0.042355,0.4140,0.0422,5.4,10.8
54,100,0.3455,360.0000,-0.642756,0.042335,0.3741,0.0366,21.9,10.8
55,100,0.3500,364.0000,-0.680701,0.042731,0.3834,0.0382,6.4,11.0
56,100,0.3509,370.0000,-0.647365,0.044098,0.3852,0.0399,8.8,10.9
57,100,0.3517,376.0000,-0.632215,0.045158,0.3836,0.0372,6.1,10.9
58,100,0.3525,382.0000,-0.695225,0.047206,0.3755,0.0379,21.6,10.9
59,100,0.3550,387.0000,-0.647680,0.050948,0.3854,0.0382,6.8,10.8
60,100,0.3639,388.0000,-0.633194,0.059610,0.4190,0.0385,6.0,10.8
61,100,0.3645,394.0000,-0.608504,0.062521,0.4286,0.0372,7.9,10.9
62,100,0.3651,400.0000,-0.582947,0.065332,0.4365,0.0407,7.5,10.9
63,100,0.3656,406.0000,-0.579754,0.068701,0.4373,0.0415,13.1,11.0
64,100,0.3662,412.0000,-0.483210,0.076549,0.4499,0.0393,4.9,11.0
65,100,0.3636,420.0000,-0.453649,0.082315,0.4383,0.0465,5.8,10.9
66,100,0.3642,426.0000,-0.373113,0.080810,0.4531,0.0472,6.6,10.9
67,100,0.3662,431.0000,-0.365454,0.083303,0.4566,0.0467,6.8,10.9
68,100,0.3696,435.0000,-0.339371,0.079382,0.4697,0.0460,8.3,10.9
69,100,0.3714,440.0000,-0.354811,0.079211,0.4676,0.0467,4.2,10.9
70,100,0.3718,446.0000,-0.344932,0.075107,0.4504,0.0508,3.4,11.1
71,100,0.3750,450.0000,-0.281786,0.076818,0.4703,0.0511,6.3,10.9
72,100,0.3781,454.0000,-0.212920,0.087105,0.4858,0.0506,3.0,10.8
73,100,0.3730,464.0000,-0.248793,0.090336,0.4677,0.0587,6.1,10.8
74,100,0.3707,472.0000,-0.231881,0.088246,0.4653,0.0521,8.4,10.7
75,100,0.3711,478.0000,-0.229604,0.088825,0.4728,0.0511,6.8,10.7
76,100,0.3714,484.0000,-0.335356,0.094260,0.4544,0.0551,5.4,10.7
77,100,0.3718,490.0000,-0.292093,0.105116,0.4570,0.0576,4.6,10.6
78,100,0.3696,498.0000,-0.234555,0.116078,0.4508,0.0646,6.5,10.6
79,100,0.3713,503.0000,-0.226648,0.119591,0.4520,0.0743,6.7,10.6
80,100,0.3704,510.0000,-0.263824,0.116603,0.4429,0.0753,9.9,10.7
81,100,0.3707,516.0000,-0.250778,0.118599,0.4349,0.0754,5.0,10.5
82,100,0.3723,521.0000,-0.212056,0.112252,0.4400,0.0753,8.8,10.6
83,100,0.3714,528.0000,-0.245154,0.111780,0.4486,0.0689,16.1,10.5
84,100,0.3741,532.0000,-0.229770,0.112808,0.4681,0.0696,5.6,10.5
85,100,0.3733,539.0000,-0.308024,0.112779,0.4510,0.0640,21.7,10.9
86,100,0.3701,548.0000,-0.257853,0.112349,0.4470,0.0619,7.4,10.8
87,100,0.3716,553.0000,-0.273350,0.102210,0.4500,0.0558,6.4,10.7
88,100,0.3697,561.0000,-0.269432,0.097606,0.4522,0.0530,7.3,10.7
89,100,0.3733,564.0000,-0.281968,0.094291,0.4596,0.0587,8.8,10.8
90,99,0.3725,571.0000,-0.343825,0.103231,0.4478,0.0585,28.4,10.7
91,99,0.3707,579.0000,-0.407862,0.104602,0.4228,0.0584,21.9,10.7
92,99,0.3699,586.0000,-0.450007,0.103186,0.4006,0.0643,6.7,10.9
93,99,0.3691,593.0000,-0.418118,0.103407,0.4077,0.0684,6.9,10.8
94,98,0.3705,598.0000,-0.458673,0.099535,0.3950,0.0663,28.5,10.8
95,93,0.3686,603.0000,-0.393365,0.097410,0.4021,0.0679,4.8,10.1
