batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.2000,8.0000,0,0,2,0.046507,2,19.3,0.0,5.9
1,10,0.2000,16.0000,10,1,5,0.094823,5,5.5,7.5,10.6
2,10,0.2333,23.0000,20,2,10,0.114768,10,9.3,17.1,18.6
3,10,0.2500,30.0000,30,1,14,0.066377,14,3.4,42.5,34.5
4,10,0.2800,36.0000,40,1,19,0.043922,19,4.5,45.7,43.3
5,10,0.2667,44.0000,50,2,23,0.042154,23,4.0,50.3,60.8
6,10,0.2714,51.0000,60,2,28,0.047197,28,11.4,47.2,75.5
7,10,0.2875,57.0000,70,3,35,0.050716,35,10.1,55.2,84.1
8,10,0.3111,62.0000,80,1,41,0.039486,41,3.3,69.7,101.6
9,10,0.3400,66.0000,90,2,49,0.034577,49,8.9,67.6,111.4
10,10,0.3455,72.0000,90,4,53,0.029339,57,6.0,58.6,111.5
11,10,0.3500,78.0000,90,0,50,0.027832,61,8.2,59.1,96.5
12,10,0.3538,84.0000,90,0,49,0.018269,65,6.7,61.9,94.2
13,10,0.3429,92.0000,90,2,49,0.028698,69,10.4,62.4,99.4
14,10,0.3400,99.0000,90,2,47,0.047478,74,6.5,76.1,91.2
15,10,0.3375,106.0000,90,4,50,0.057094,81,3.5,70.0,138.3
16,10,0.3529,110.0000,90,3,54,0.067019,90,5.3,60.8,353.7
17,10,0.3556,116.0000,90,2,54,0.082554,96,5.9,49.3,434.3
18,10,0.3474,124.0000,90,1,50,0.072935,99,8.8,58.7,406.4
19,10,0.3450,131.0000,90,1,46,0.065699,103,8.8,51.5,288.2
20,10,0.3381,139.0000,90,3,45,0.079244,108,6.4,66.0,247.9
21,10,0.3409,145.0000,90,3,47,0.075649,115,28.1,64.7,249.8
22,10,0.3391,152.0000,90,2,46,0.073061,120,5.4,90.4,245.5
23,10,0.3583,154.0000,90,1,52,0.083462,129,7.4,80.7,272.4
24,10,0.3600,160.0000,90,1,50,0.073765,134,5.7,91.3,157.6
25,10,0.3538,168.0000,90,1,48,0.057760,137,10.0,90.0,210.0
26,10,0.3556,174.0000,90,0,45,0.079277,141,4.2,123.1,306.6
27,10,0.3643,178.0000,90,0,47,0.067263,147,3.3,103.1,316.5
28,10,0.3759,181.0000,90,1,52,0.071194,155,6.4,109.8,232.6
29,10,0.3733,188.0000,90,0,50,0.068350,158,3.4,93.2,215.8
30,10,0.3806,192.0000,90,0,49,0.074870,164,5.0,88.0,225.2
31,10,0.3812,198.0000,90,1,49,0.068967,169,28.0,60.7,157.9
32,10,0.3879,202.0000,90,0,52,0.065087,175,5.0,84.6,190.9
33,10,0.3912,207.0000,90,0,49,0.063705,180,4.6,69.2,146.1
34,10,0.3914,213.0000,90,1,49,0.067288,185,6.5,68.2,145.9
35,10,0.3889,220.0000,90,0,48,0.068664,188,6.1,65.3,143.6
36,10,0.3892,226.0000,90,1,49,0.064926,193,11.4,88.7,147.0
37,10,0.3895,232.0000,90,0,47,0.053920,197,11.1,97.7,178.6
38,10,0.3923,237.0000,90,2,47,0.081299,204,8.4,114.4,140.7
39,10,0.3950,242.0000,90,0,49,0.061417,209,4.8,79.4,147.1
40,10,0.3951,248.0000,90,2,49,0.066855,215,4.9,107.3,147.2
41,10,0.3952,254.0000,90,0,48,0.059276,219,7.4,85.2,144.7
42,10,0.3953,260.0000,90,0,46,0.065643,223,5.1,91.7,130.0
43,10,0.3955,266.0000,90,0,45,0.072327,227,3.7,103.3,413.7
44,10,0.3956,272.0000,90,2,47,0.053683,233,9.3,87.0,423.5
45,10,0.3978,277.0000,90,1,49,0.049210,239,6.3,91.0,349.6
46,10,0.4021,281.0000,90,2,53,0.055169,247,9.3,100.6,375.6
47,10,0.4021,287.0000,90,1,52,0.063157,252,5.8,82.8,446.5
48,10,0.3980,295.0000,90,1,49,0.060399,255,5.0,88.3,438.6
49,10,0.4000,300.0000,90,1,49,0.050779,261,5.6,90.7,438.2
50,10,0.4000,306.0000,90,2,51,0.050290,267,4.9,78.2,445.2
51,10,0.4038,310.0000,90,0,52,0.045671,273,6.5,55.8,444.6
52,10,0.4038,316.0000,90,1,52,0.039293,278,3.9,59.9,444.5
53,10,0.4056,321.0000,90,4,55,0.040628,287,4.3,63.8,124.0
54,10,0.4073,326.0000,90,0,54,0.046577,292,9.5,63.2,125.9
55,10,0.4071,332.0000,90,1,52,0.039581,297,11.8,60.8,118.6
56,10,0.4035,340.0000,90,0,47,0.017209,299,4.9,62.5,110.9
57,10,0.4034,346.0000,90,1,47,0.015471,304,4.1,62.5,110.9
58,10,0.4051,351.0000,90,1,49,0.024404,310,4.5,59.9,116.5
59,10,0.4067,356.0000,90,0,48,0.042098,315,5.4,60.4,113.4
60,10,0.4115,359.0000,90,1,51,0.035290,323,7.2,50.7,117.8
61,10,0.4145,363.0000,90,0,51,0.048695,329,5.4,51.9,114.1
62,10,0.4143,369.0000,90,2,51,0.057554,335,8.5,53.5,215.9
63,10,0.4141,375.0000,90,0,49,0.062230,339,5.8,66.4,202.3
64,10,0.4138,381.0000,90,1,49,0.060070,344,8.6,58.0,218.5
65,10,0.4106,389.0000,90,1,48,0.049677,347,8.0,55.6,207.4
66,10,0.4104,395.0000,90,1,51,0.049812,352,10.9,57.7,213.7
67,10,0.4132,399.0000,90,0,51,0.063249,358,5.5,65.0,213.6
68,10,0.4116,406.0000,90,5,54,0.072578,366,10.0,65.9,206.5
69,10,0.4143,410.0000,90,2,57,0.079274,374,3.9,68.0,206.8
70,10,0.4141,416.0000,90,0,53,0.060764,378,7.1,59.7,212.9
