batch_idx,n_new,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.4000,6.0000,0.5000,0.3333,0.5000,0,0,0,0.000000,4,1.8,0.0,0.0
1,10,0.4500,11.0000,0.5000,0.3636,0.6667,0,0,0,0.000000,9,2.2,0.0,0.0
2,10,0.3667,19.0000,0.5000,0.3125,0.3750,0,0,0,0.000000,11,1.1,0.0,0.0
3,10,0.4000,24.0000,0.4444,0.3500,0.4545,0,0,0,0.000000,16,1.6,0.0,0.0
4,10,0.3800,31.0000,0.3636,0.3750,0.4000,0,0,0,0.000000,19,3.7,0.0,0.0
5,10,0.3500,39.0000,0.3077,0.3448,0.3889,0,0,0,0.000000,21,2.4,0.0,0.0
6,10,0.4000,42.0000,0.3333,0.3438,0.5217,0,0,0,0.000000,28,2.0,0.0,0.0
7,10,0.3750,50.0000,0.2857,0.3143,0.5417,0,0,0,0.000000,30,7.9,0.0,0.0
8,10,0.3889,55.0000,0.2800,0.3514,0.5357,0,0,0,0.000000,35,2.6,0.0,0.0
9,10,0.4200,58.0000,0.2692,0.3590,0.6000,0,0,0,0.000000,42,2.6,0.0,0.0
10,10,0.4091,65.0000,0.2759,0.3488,0.5789,0,0,0,0.000000,45,6.9,0.0,0.0
11,10,0.4250,69.0000,0.2759,0.3673,0.5952,0,0,0,0.000000,51,1.4,0.0,0.0
12,10,0.4154,76.0000,0.2500,0.3654,0.5870,0,0,0,0.000000,54,4.1,0.0,0.0
13,10,0.4214,81.0000,0.2778,0.3636,0.5918,0,0,0,0.000000,59,2.0,0.0,0.0
14,10,0.4267,86.0000,0.2821,0.3750,0.5818,0,0,0,0.000000,64,1.5,0.0,0.0
15,10,0.4188,93.0000,0.2791,0.3667,0.5789,0,0,0,0.000000,67,4.1,0.0,0.0
16,10,0.4294,97.0000,0.3043,0.3846,0.5763,0,0,0,0.000000,73,2.5,0.0,0.0
17,10,0.4389,101.0000,0.3061,0.4058,0.5806,0,0,0,0.000000,79,2.4,0.0,0.0
18,10,0.4211,110.0000,0.3000,0.3867,0.5538,0,0,0,0.000000,80,2.9,0.0,0.0
19,10,0.4200,116.0000,0.3077,0.3797,0.5507,0,0,0,0.000000,84,2.5,0.0,0.0
20,10,0.4143,123.0000,0.3214,0.3750,0.5270,0,0,0,0.000000,87,2.8,0.0,0.0
21,10,0.4045,131.0000,0.3103,0.3690,0.5128,0,0,0,0.000000,89,1.9,0.0,0.0
22,10,0.4000,138.0000,0.3175,0.3721,0.4938,0,0,0,0.000000,92,2.5,0.0,0.0
23,10,0.3917,146.0000,0.2985,0.3864,0.4706,0,0,0,0.000000,94,6.7,0.0,0.0
24,10,0.3800,155.0000,0.2958,0.3696,0.4598,0,0,0,0.000000,95,13.9,0.0,0.0
25,10,0.3769,162.0000,0.2800,0.3789,0.4556,0,0,0,0.000000,98,5.6,0.0,0.0
26,10,0.3815,167.0000,0.3038,0.3737,0.4565,0,0,0,0.000000,103,1.9,0.0,0.0
27,10,0.4000,168.0000,0.3210,0.3981,0.4688,0,0,0,0.000000,112,1.4,0.0,0.0
28,10,0.4069,172.0000,0.3176,0.4167,0.4742,0,0,0,0.000000,118,1.3,0.0,0.0
29,10,0.4167,175.0000,0.3409,0.4234,0.4752,0,0,0,0.000000,125,2.4,0.0,0.0
30,10,0.4129,182.0000,0.3478,0.4196,0.4623,0,0,0,0.000000,128,3.3,0.0,0.0
31,10,0.4156,187.0000,0.3571,0.4159,0.4679,0,0,0,0.000000,133,7.0,0.0,0.0
32,10,0.4152,193.0000,0.3495,0.4188,0.4727,0,0,0,0.000000,137,13.6,0.0,0.0
33,10,0.4147,199.0000,0.3429,0.4180,0.4779,0,0,0,0.000000,141,2.5,0.0,0.0
34,10,0.4171,204.0000,0.3519,0.4252,0.4696,0,0,0,0.000000,146,3.7,0.0,0.0
35,10,0.4194,209.0000,0.3482,0.4275,0.4786,0,0,0,0.000000,151,5.3,0.0,0.0
36,10,0.4216,214.0000,0.3509,0.4307,0.4790,0,0,0,0.000000,156,6.3,0.0,0.0
37,10,0.4211,220.0000,0.3448,0.4429,0.4677,0,0,0,0.000000,160,1.5,0.0,0.0
38,10,0.4205,226.0000,0.3361,0.4507,0.4683,0,0,0,0.000000,164,5.0,0.0,0.0
39,10,0.4200,232.0000,0.3360,0.4558,0.4609,0,0,0,0.000000,168,2.8,0.0,0.0
40,10,0.4171,239.0000,0.3386,0.4503,0.4545,0,0,0,0.000000,171,1.4,0.0,0.0
41,10,0.4190,244.0000,0.3435,0.4481,0.4593,0,0,0,0.000000,176,3.1,0.0,0.0
42,10,0.4186,250.0000,0.3358,0.4586,0.4532,0,0,0,0.000000,180,1.6,0.0,0.0
43,10,0.4273,252.0000,0.3407,0.4724,0.4577,0,0,0,0.000000,188,1.4,0.0,0.0
44,10,0.4244,259.0000,0.3357,0.4702,0.4577,0,0,0,0.000000,191,4.9,0.0,0.0
45,10,0.4261,264.0000,0.3287,0.4770,0.4615,0,0,0,0.000000,196,1.3,0.0,0.0
46,10,0.4234,271.0000,0.3333,0.4746,0.4521,0,0,0,0.000000,199,5.2,0.0,0.0
47,10,0.4271,275.0000,0.3356,0.4751,0.4600,0,0,0,0.000000,205,5.1,0.0,0.0
48,10,0.4265,281.0000,0.3377,0.4757,0.4570,0,0,0,0.000000,209,4.3,0.0,0.0
49,10,0.4280,286.0000,0.3396,0.4759,0.4610,0,0,0,0.000000,214,2.2,0.0,0.0
50,10,0.4294,291.0000,0.3395,0.4815,0.4591,0,0,0,0.000000,219,1.7,0.0,0.0
