batch_idx,n_train,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
0,10,0.4000,6.0000,0.5000,0.3333,0.5000,-0.037424,0.000000,0.4858,0.0000,4.0,2.3
1,20,0.4000,12.0000,0.1667,0.4545,0.6667,-0.416293,0.000000,0.4182,0.0000,4.7,2.4
2,30,0.3667,19.0000,0.1667,0.3750,0.5000,-0.307506,-0.000648,0.4247,0.0000,2.6,3.9
3,40,0.4000,24.0000,0.2222,0.4000,0.5455,-0.241914,-0.000778,0.4541,0.0000,3.2,5.1
4,50,0.3800,31.0000,0.1818,0.4167,0.4667,-0.570428,-0.001355,0.3736,0.0000,20.3,6.5
5,60,0.3667,38.0000,0.2308,0.3793,0.4444,-0.462295,-0.001180,0.3902,0.0013,5.8,7.9
6,70,0.4000,42.0000,0.2000,0.3750,0.5652,-0.594406,-0.001209,0.3806,0.0044,10.9,9.5
7,80,0.4000,48.0000,0.2381,0.3714,0.5833,-0.234080,-0.001106,0.4561,0.0132,14.5,10.7
8,90,0.4111,53.0000,0.2400,0.4054,0.5714,-0.260553,-0.001345,0.4561,0.0220,4.7,12.2
9,100,0.4500,55.0000,0.2308,0.4103,0.6571,-0.375495,-0.001341,0.4510,0.0295,12.3,13.8
10,100,0.4455,61.0000,0.2414,0.4186,0.6316,-0.426461,0.000021,0.4416,0.0280,10.4,14.1
11,100,0.4500,66.0000,0.2414,0.4082,0.6429,-0.398916,0.003523,0.4506,0.0255,2.9,14.4
12,100,0.4538,71.0000,0.2188,0.4423,0.6304,-0.458195,0.005705,0.4480,0.0277,6.0,14.5
13,100,0.4571,76.0000,0.2500,0.4364,0.6327,-0.463349,0.008084,0.4469,0.0284,3.4,14.5
14,100,0.4667,80.0000,0.2564,0.4464,0.6364,-0.373007,0.009775,0.4725,0.0275,3.5,14.7
15,100,0.4625,86.0000,0.2558,0.4500,0.6316,-0.453531,0.016869,0.4637,0.0273,8.2,15.0
16,100,0.4706,90.0000,0.3043,0.4462,0.6271,-0.320466,0.020809,0.4825,0.0328,5.2,14.7
17,100,0.4667,96.0000,0.3061,0.4348,0.6290,-0.582679,0.022471,0.4425,0.0348,7.8,14.4
18,100,0.4526,104.0000,0.3000,0.4267,0.6000,-0.564497,0.025823,0.4332,0.0407,5.9,14.2
19,100,0.4500,110.0000,0.2885,0.4304,0.5942,-0.496185,0.029449,0.4286,0.0441,6.5,13.9
20,100,0.4429,117.0000,0.3036,0.4250,0.5676,-0.484360,0.028865,0.4262,0.0443,8.7,14.0
21,100,0.4318,125.0000,0.2931,0.4167,0.5513,-0.476715,0.026766,0.4131,0.0494,3.9,13.8
22,100,0.4348,130.0000,0.3016,0.4186,0.5556,-0.390106,0.027752,0.4313,0.0508,4.4,13.6
23,100,0.4208,139.0000,0.2836,0.4205,0.5294,-0.560226,0.028130,0.3726,0.0500,18.4,13.9
24,100,0.4080,148.0000,0.2817,0.4022,0.5172,-0.521939,0.031263,0.3499,0.0601,7.3,13.7
25,100,0.4038,155.0000,0.2800,0.4000,0.5111,-0.516506,0.025020,0.3456,0.0537,14.0,13.9
26,100,0.4074,160.0000,0.3038,0.3939,0.5109,-0.506297,0.021426,0.3403,0.0417,3.7,13.7
27,100,0.4214,162.0000,0.3210,0.4078,0.5208,-0.499646,0.021604,0.3686,0.0416,2.9,13.9
28,100,0.4310,165.0000,0.3176,0.4352,0.5258,-0.552044,0.020978,0.3868,0.0419,3.1,13.7
29,100,0.4400,168.0000,0.3295,0.4324,0.5446,-0.537314,0.026111,0.4063,0.0421,4.0,13.8
30,100,0.4387,174.0000,0.3370,0.4286,0.5377,-0.519969,0.027778,0.4153,0.0409,9.8,13.7
31,100,0.4437,178.0000,0.3469,0.4336,0.5413,-0.600951,0.031348,0.4182,0.0404,9.4,13.6
32,100,0.4455,183.0000,0.3495,0.4359,0.5455,-0.721429,0.031641,0.3938,0.0385,17.7,13.4
33,100,0.4441,189.0000,0.3429,0.4262,0.5575,-0.580266,0.034482,0.4365,0.0393,3.7,13.6
34,100,0.4429,195.0000,0.3426,0.4331,0.5478,-0.577324,0.035199,0.4495,0.0365,2.8,13.1
