batch_idx,n_problems,n_with_icl,n_new_into_mem,n_reeval,n_reeval_replaced,avg_greedy_reward,cumulative_regret,kl_loss,gen_time_s,oracle_time_s,reeval_gen_time_s,reeval_oracle_time_s,train_time_s,mem_bank_size,peak_vram_gb
0,10,0,10,0,0,0.4000,6.0000,0.115568,34.9,0.4,0.0,0.0,30.3,10,37.3
1,10,10,10,10,10,0.4000,12.0000,0.090923,12.3,0.1,16.4,10.0,58.8,20,48.4
2,10,10,10,20,16,0.6333,15.6667,0.078502,11.2,10.1,78.8,0.1,85.1,30,57.2
3,10,10,10,30,22,0.3333,22.3333,0.064500,15.3,0.5,94.3,10.2,124.0,40,65.0
4,10,10,10,40,33,0.2667,29.6667,0.060503,15.2,0.1,74.0,10.2,133.0,50,73.0
5,10,10,10,50,38,0.3833,35.8333,0.045428,13.7,0.1,168.6,10.2,287.7,60,83.9
6,10,10,10,60,51,0.6250,39.5833,0.052832,11.0,0.1,152.0,10.2,333.9,70,93.5
7,10,10,10,70,58,0.5833,43.7500,0.032604,12.5,0.1,147.8,10.3,546.6,80,100.3
8,10,10,10,80,66,0.4167,49.5833,0.032394,14.7,0.1,209.9,10.3,393.9,90,100.3
9,10,10,10,90,76,0.5583,54.0000,0.040872,15.7,0.1,172.9,17.9,542.3,100,100.3
10,10,10,10,90,76,0.6333,57.6667,0.039425,16.5,0.1,146.5,10.6,206.4,110,100.3
11,10,10,10,90,76,0.5000,62.6667,0.043261,19.3,0.1,152.8,10.3,302.8,120,100.3
12,10,10,10,90,77,0.5750,66.9167,0.039281,16.2,0.1,155.1,41.0,273.1,130,100.3
13,10,10,10,90,72,0.4667,72.2500,0.048221,32.8,10.1,148.8,30.9,229.0,140,100.3
14,10,10,10,90,74,0.4250,78.0000,0.039299,15.4,0.1,159.8,30.8,422.0,150,100.3
15,10,10,10,90,74,0.4000,84.0000,0.039524,28.7,0.2,199.1,20.5,388.5,160,100.3
16,10,10,10,90,79,0.5833,88.1667,0.049272,14.5,0.1,187.4,20.4,507.5,170,100.3
17,10,10,10,90,76,0.4500,93.6667,0.050334,54.0,0.7,227.3,30.6,260.2,180,100.3
18,10,10,10,90,76,0.3083,100.5833,0.055038,33.0,0.1,241.9,20.4,461.3,190,100.3
19,10,10,10,90,78,0.3750,106.8333,0.047074,31.5,0.1,240.2,20.2,456.2,200,100.3
20,10,10,10,90,69,0.2500,114.3333,0.046314,13.4,0.1,194.6,20.2,525.8,210,100.3
21,10,10,10,90,82,0.3167,121.1667,0.067645,22.5,0.1,233.8,20.2,268.1,220,100.3
22,10,10,10,90,77,0.3000,128.1667,0.052681,54.0,0.5,245.8,10.1,327.2,230,100.3
23,10,10,10,90,73,0.4333,133.8333,0.047859,27.0,0.1,287.9,10.2,268.0,240,100.3
24,10,10,10,90,80,0.3000,140.8333,0.033630,15.3,0.1,265.1,30.5,590.6,250,100.3
25,10,10,10,90,77,0.7250,143.5833,0.041783,11.5,10.1,236.4,2.6,293.6,260,100.3
26,10,10,10,90,73,0.4833,148.7500,0.035543,54.0,0.1,267.9,21.0,272.8,270,100.3
27,10,10,10,90,79,0.3333,155.4167,0.034284,12.6,30.0,217.9,16.1,283.3,280,100.3
28,10,10,10,90,80,0.5000,160.4167,0.026390,54.1,0.1,177.4,31.3,271.8,290,100.3
29,10,10,10,90,81,0.4667,165.7500,0.030435,14.4,0.1,214.0,16.5,293.7,300,100.3
30,10,10,10,90,81,0.3833,171.9167,0.029590,17.8,0.1,224.8,16.3,597.3,310,100.3
31,10,10,10,90,81,0.3333,178.5833,0.027916,19.1,10.0,218.8,20.8,345.8,320,100.3
32,10,10,10,90,84,0.3083,185.5000,0.035974,19.3,20.1,184.8,20.6,273.8,330,100.3
33,10,10,10,90,83,0.7000,188.5000,0.025832,22.1,0.1,193.2,20.8,278.0,340,100.3
34,10,10,10,90,83,0.6333,192.1667,0.024132,13.2,10.1,184.6,20.6,217.0,350,100.3
35,10,10,10,90,82,0.4167,198.0000,0.020597,23.3,0.4,192.2,20.6,284.2,360,100.3
36,10,10,10,90,80,0.5333,202.6667,0.019558,22.7,0.8,183.3,20.2,226.5,370,100.3
37,10,10,10,90,81,0.3250,209.4167,0.019404,19.9,0.1,195.0,20.3,249.6,380,100.3
38,10,10,10,90,80,0.4967,214.4500,0.022881,10.1,10.1,164.7,1.4,300.0,390,100.3
39,10,10,10,90,80,0.4333,220.1167,0.018720,17.7,10.1,157.7,10.9,314.7,400,100.3
40,10,10,10,90,86,0.3000,227.1167,0.026944,54.0,10.0,170.2,10.9,298.7,410,100.3
41,10,10,10,90,87,0.4833,232.2833,0.028103,14.2,0.1,210.7,10.9,277.3,420,100.3
42,10,10,10,90,82,0.5583,236.7000,0.024853,17.8,7.2,217.5,10.6,275.6,430,100.3
43,10,10,10,90,81,0.1917,244.7833,0.024162,21.2,0.1,205.3,10.5,272.9,440,100.3
44,10,10,10,90,81,0.7000,247.7833,0.026666,21.2,0.1,218.8,10.7,318.8,450,100.3
45,10,10,10,90,81,0.4333,253.4500,0.024919,14.5,0.1,200.5,11.3,224.0,460,100.3
46,10,10,10,90,82,0.4667,258.7833,0.017320,23.6,10.1,223.0,10.3,243.0,470,100.3
47,10,10,10,90,82,0.4800,263.9833,0.018886,20.8,0.1,198.0,10.8,371.3,480,100.3
48,10,10,10,90,82,0.3333,270.6500,0.023297,54.1,10.1,214.5,10.7,375.7,490,100.3
49,10,10,10,90,81,0.4333,276.3167,0.019376,20.5,0.1,288.4,10.8,369.0,500,100.3
50,10,10,10,90,80,0.2417,283.9000,0.021283,19.4,20.0,289.2,10.7,249.3,510,100.3
