step,problem_id,n_icl,greedy_reward,cumulative_regret,accepted_into_mem,kl_loss_batch,batch_idx
0,1899_A,0,0.0000,6.0000,1,0.115568,0
1,abc383_e,0,0.0000,6.0000,1,0.115568,0
2,abc315_a,0,1.0000,6.0000,1,0.115568,0
3,3227,0,0.0000,6.0000,1,0.115568,0
4,arc190_c,0,0.0000,6.0000,1,0.115568,0
5,3210,0,1.0000,6.0000,1,0.115568,0
6,arc192_b,0,0.3333,6.0000,1,0.115568,0
7,3605,0,0.0000,6.0000,1,0.115568,0
8,abc398_g,0,0.6667,6.0000,1,0.115568,0
9,abc378_d,0,1.0000,6.0000,1,0.115568,0
10,abc344_a,3,1.0000,12.0000,1,0.090923,1
11,abc374_b,3,1.0000,12.0000,1,0.090923,1
12,3264,3,0.0000,12.0000,1,0.090923,1
13,abc397_d,3,0.0000,12.0000,1,0.090923,1
14,3414,3,0.5000,12.0000,1,0.090923,1
15,arc186_a,3,0.5000,12.0000,1,0.090923,1
16,arc189_b,3,0.0000,12.0000,1,0.090923,1
17,3151,3,0.0000,12.0000,1,0.090923,1
18,abc376_g,3,0.0000,12.0000,1,0.090923,1
19,abc363_a,3,1.0000,12.0000,1,0.090923,1
20,abc380_d,3,0.0000,15.6667,1,0.078502,2
21,abc384_a,3,1.0000,15.6667,1,0.078502,2
22,3384,3,1.0000,15.6667,1,0.078502,2
23,abc303_a,3,0.3333,15.6667,1,0.078502,2
24,abc396_a,3,1.0000,15.6667,1,0.078502,2
25,abc323_b,3,1.0000,15.6667,1,0.078502,2
26,3019,3,1.0000,15.6667,1,0.078502,2
27,abc326_a,3,0.6667,15.6667,1,0.078502,2
28,abc387_c,3,0.0000,15.6667,1,0.078502,2
29,arc188_c,3,0.3333,15.6667,1,0.078502,2
30,abc314_e,3,0.0000,22.3333,1,0.064500,3
31,2881,3,1.0000,22.3333,1,0.064500,3
32,abc391_g,3,0.0000,22.3333,1,0.064500,3
33,abc379_b,3,1.0000,22.3333,1,0.064500,3
34,abc376_b,3,0.0000,22.3333,1,0.064500,3
35,abc371_g,3,0.0000,22.3333,1,0.064500,3
36,abc375_c,3,0.0000,22.3333,1,0.064500,3
37,3044,3,0.0000,22.3333,1,0.064500,3
38,abc329_b,3,1.0000,22.3333,1,0.064500,3
39,abc398_d,3,0.3333,22.3333,1,0.064500,3
40,3510,3,0.6667,29.6667,1,0.060503,4
41,2779,3,1.0000,29.6667,1,0.060503,4
42,3375,3,0.0000,29.6667,1,0.060503,4
43,abc368_e,3,0.0000,29.6667,1,0.060503,4
44,arc193_d,3,0.0000,29.6667,1,0.060503,4
45,2827,3,1.0000,29.6667,1,0.060503,4
46,3785,3,0.0000,29.6667,1,0.060503,4
47,3532,3,0.0000,29.6667,1,0.060503,4
48,abc357_c,3,0.0000,29.6667,1,0.060503,4
49,abc394_e,3,0.0000,29.6667,1,0.060503,4
50,abc392_g,3,0.0000,35.8333,1,0.045428,5
51,3462,3,0.5000,35.8333,1,0.045428,5
52,abc361_b,3,0.6667,35.8333,1,0.045428,5
53,2856,3,0.0000,35.8333,1,0.045428,5
54,2777,3,0.5000,35.8333,1,0.045428,5
55,abc398_c,3,0.5000,35.8333,1,0.045428,5
56,abc377_g,3,0.0000,35.8333,1,0.045428,5
57,3625,3,1.0000,35.8333,1,0.045428,5
58,3382,3,0.6667,35.8333,1,0.045428,5
59,3402,3,0.0000,35.8333,1,0.045428,5
60,3764,3,1.0000,39.5833,1,0.052832,6
61,2784,3,0.0000,39.5833,1,0.052832,6
62,3221,3,1.0000,39.5833,1,0.052832,6
63,3533,3,1.0000,39.5833,1,0.052832,6
64,2816,3,1.0000,39.5833,1,0.052832,6
65,3324,3,0.0000,39.5833,1,0.052832,6
66,abc354_e,3,0.0000,39.5833,1,0.052832,6
67,abc374_e,3,0.2500,39.5833,1,0.052832,6
68,abc399_a,3,1.0000,39.5833,1,0.052832,6
69,3553,3,1.0000,39.5833,1,0.052832,6
70,3398,3,0.0000,43.7500,1,0.032604,7
71,abc376_c,3,0.3333,43.7500,1,0.032604,7
72,arc195_b,3,1.0000,43.7500,1,0.032604,7
73,3428,3,1.0000,43.7500,1,0.032604,7
74,abc308_c,3,1.0000,43.7500,1,0.032604,7
75,abc337_a,3,1.0000,43.7500,1,0.032604,7
76,abc323_e,3,0.0000,43.7500,1,0.032604,7
77,3493,3,0.5000,43.7500,1,0.032604,7
78,2825,3,1.0000,43.7500,1,0.032604,7
79,2811,3,0.0000,43.7500,1,0.032604,7
80,3636,3,1.0000,49.5833,1,0.032394,8
81,abc332_a,3,1.0000,49.5833,1,0.032394,8
82,abc355_d,3,0.6667,49.5833,1,0.032394,8
83,3485,3,0.0000,49.5833,1,0.032394,8
84,abc381_e,3,0.0000,49.5833,1,0.032394,8
85,abc381_c,3,0.0000,49.5833,1,0.032394,8
86,abc368_d,3,0.0000,49.5833,1,0.032394,8
87,3737,3,0.5000,49.5833,1,0.032394,8
88,abc350_d,3,0.0000,49.5833,1,0.032394,8
89,3225,3,1.0000,49.5833,1,0.032394,8
90,3733,3,0.2500,54.0000,1,0.040872,9
91,3438,3,0.5000,54.0000,1,0.040872,9
92,abc399_f,3,1.0000,54.0000,1,0.040872,9
93,abc302_e,3,0.5000,54.0000,1,0.040872,9
94,abc390_a,3,1.0000,54.0000,1,0.040872,9
95,abc362_c,3,0.3333,54.0000,1,0.040872,9
96,2921,3,0.0000,54.0000,1,0.040872,9
97,2917,3,1.0000,54.0000,1,0.040872,9
98,abc378_e,3,0.0000,54.0000,1,0.040872,9
99,2867,3,1.0000,54.0000,1,0.040872,9
100,3541,3,1.0000,57.6667,1,0.039425,10
101,abc356_b,3,1.0000,57.6667,1,0.039425,10
102,abc323_d,3,0.3333,57.6667,1,0.039425,10
103,abc392_b,3,1.0000,57.6667,1,0.039425,10
104,abc334_d,3,0.0000,57.6667,1,0.039425,10
105,abc329_d,3,1.0000,57.6667,1,0.039425,10
106,abc399_d,3,0.0000,57.6667,1,0.039425,10
107,abc349_d,3,0.0000,57.6667,1,0.039425,10
108,abc338_a,3,1.0000,57.6667,1,0.039425,10
109,3626,3,1.0000,57.6667,1,0.039425,10
110,abc305_b,3,0.0000,62.6667,1,0.043261,11
111,abc380_a,3,1.0000,62.6667,1,0.043261,11
112,3242,3,1.0000,62.6667,1,0.043261,11
113,arc191_d,3,0.3333,62.6667,1,0.043261,11
114,abc375_a,3,1.0000,62.6667,1,0.043261,11
115,abc333_e,3,0.3333,62.6667,1,0.043261,11
116,3548,3,0.3333,62.6667,1,0.043261,11
117,arc183_d,3,0.0000,62.6667,1,0.043261,11
118,abc336_a,3,1.0000,62.6667,1,0.043261,11
119,3387,3,0.0000,62.6667,1,0.043261,11
120,abc301_d,3,1.0000,66.9167,1,0.039281,12
121,3747,3,1.0000,66.9167,1,0.039281,12
122,3683,3,0.0000,66.9167,1,0.039281,12
123,3269,3,1.0000,66.9167,1,0.039281,12
124,3411,3,0.5000,66.9167,1,0.039281,12
125,3786,3,0.0000,66.9167,1,0.039281,12
126,abc313_b,3,0.6667,66.9167,1,0.039281,12
127,3508,3,0.3333,66.9167,1,0.039281,12
128,abc347_e,3,1.0000,66.9167,1,0.039281,12
129,3580,3,0.2500,66.9167,1,0.039281,12
130,arc186_b,3,0.0000,72.2500,1,0.048221,13
131,3777,3,0.0000,72.2500,1,0.048221,13
132,3397,3,1.0000,72.2500,1,0.048221,13
133,abc356_e,3,1.0000,72.2500,1,0.048221,13
134,arc195_e,3,0.0000,72.2500,1,0.048221,13
135,abc375_g,3,1.0000,72.2500,1,0.048221,13
136,abc372_f,3,0.3333,72.2500,1,0.048221,13
137,abc367_d,3,0.3333,72.2500,1,0.048221,13
138,abc388_g,3,0.0000,72.2500,1,0.048221,13
139,3231,3,1.0000,72.2500,1,0.048221,13
140,abc389_d,3,0.0000,78.0000,1,0.039299,14
141,3207,3,1.0000,78.0000,1,0.039299,14
142,abc367_f,3,1.0000,78.0000,1,0.039299,14
143,abc339_a,3,0.0000,78.0000,1,0.039299,14
144,abc312_c,3,0.0000,78.0000,1,0.039299,14
145,3024,3,0.0000,78.0000,1,0.039299,14
146,abc320_d,3,0.6667,78.0000,1,0.039299,14
147,abc364_e,3,0.2500,78.0000,1,0.039299,14
148,abc366_d,3,1.0000,78.0000,1,0.039299,14
149,abc329_e,3,0.3333,78.0000,1,0.039299,14
150,abc384_e,3,0.3333,84.0000,1,0.039524,15
151,abc373_g,3,0.0000,84.0000,1,0.039524,15
152,3228,3,1.0000,84.0000,1,0.039524,15
