step,problem_id,greedy_reward,cumulative_regret,batch_idx
0,1899_A,0.0000,1.0000,0
1,abc383_e,0.0000,2.0000,0
2,abc315_a,1.0000,2.0000,0
3,3227,0.0000,3.0000,0
4,arc190_c,0.0000,4.0000,0
5,3210,1.0000,4.0000,0
6,arc192_b,0.3333,4.6667,0
7,3605,0.0000,5.6667,0
8,abc398_g,0.6667,6.0000,0
9,abc378_d,1.0000,6.0000,0
10,abc344_a,1.0000,6.0000,1
11,abc374_b,1.0000,6.0000,1
12,3264,0.0000,7.0000,1
13,abc397_d,0.0000,8.0000,1
14,3414,0.5000,8.5000,1
15,arc186_a,0.5000,9.0000,1
16,arc189_b,0.0000,10.0000,1
17,3151,0.0000,11.0000,1
18,abc376_g,0.0000,12.0000,1
19,abc363_a,1.0000,12.0000,1
20,abc380_d,0.0000,13.0000,2
21,abc384_a,1.0000,13.0000,2
22,3384,0.0000,14.0000,2
23,abc303_a,1.0000,14.0000,2
24,abc396_a,1.0000,14.0000,2
25,abc323_b,1.0000,14.0000,2
26,3019,1.0000,14.0000,2
27,abc326_a,0.6667,14.3333,2
28,abc387_c,0.0000,15.3333,2
29,arc188_c,0.3333,16.0000,2
30,abc314_e,0.0000,17.0000,3
31,2881,0.0000,18.0000,3
32,abc391_g,0.0000,19.0000,3
33,abc379_b,1.0000,19.0000,3
34,abc376_b,0.6667,19.3333,3
35,abc371_g,0.0000,20.3333,3
36,abc375_c,0.0000,21.3333,3
37,3044,0.0000,22.3333,3
38,abc329_b,1.0000,22.3333,3
39,abc398_d,0.3333,23.0000,3
40,3510,0.6667,23.3333,4
41,2779,0.0000,24.3333,4
42,3375,0.0000,25.3333,4
43,abc368_e,0.0000,26.3333,4
44,arc193_d,0.0000,27.3333,4
45,2827,0.0000,28.3333,4
46,3785,0.3333,29.0000,4
47,3532,0.0000,30.0000,4
48,abc357_c,0.0000,31.0000,4
49,abc394_e,0.0000,32.0000,4
50,abc392_g,0.0000,33.0000,5
51,3462,0.5000,33.5000,5
52,abc361_b,0.3333,34.1667,5
53,2856,0.0000,35.1667,5
54,2777,0.0000,36.1667,5
55,abc398_c,0.5000,36.6667,5
56,abc377_g,0.0000,37.6667,5
57,3625,0.5000,38.1667,5
58,3382,0.0000,39.1667,5
59,3402,0.0000,40.1667,5
60,3764,1.0000,40.1667,6
61,2784,0.0000,41.1667,6
62,3221,0.0000,42.1667,6
63,3533,0.0000,43.1667,6
64,2816,1.0000,43.1667,6
65,3324,0.0000,44.1667,6
66,abc354_e,0.5000,44.6667,6
67,abc374_e,0.0000,45.6667,6
68,abc399_a,1.0000,45.6667,6
69,3553,1.0000,45.6667,6
70,3398,0.0000,46.6667,7
71,abc376_c,0.3333,47.3333,7
72,arc195_b,0.6667,47.6667,7
73,3428,0.0000,48.6667,7
74,abc308_c,1.0000,48.6667,7
75,abc337_a,1.0000,48.6667,7
76,abc323_e,0.0000,49.6667,7
77,3493,0.5000,50.1667,7
78,2825,1.0000,50.1667,7
79,2811,1.0000,50.1667,7
80,3636,1.0000,50.1667,8
81,abc332_a,1.0000,50.1667,8
82,abc355_d,0.3333,50.8333,8
83,3485,0.0000,51.8333,8
84,abc381_e,0.0000,52.8333,8
85,abc381_c,0.0000,53.8333,8
86,abc368_d,0.3333,54.5000,8
87,3737,0.0000,55.5000,8
88,abc350_d,0.3333,56.1667,8
89,3225,0.0000,57.1667,8
90,3733,0.0000,58.1667,9
91,3438,0.0000,59.1667,9
92,abc399_f,1.0000,59.1667,9
93,abc302_e,0.0000,60.1667,9
94,abc390_a,1.0000,60.1667,9
95,abc362_c,0.3333,60.8333,9
96,2921,0.0000,61.8333,9
97,2917,0.0000,62.8333,9
98,abc378_e,0.0000,63.8333,9
99,2867,0.0000,64.8333,9
100,3541,0.0000,65.8333,10
101,abc356_b,1.0000,65.8333,10
102,abc323_d,0.6667,66.1667,10
103,abc392_b,0.6667,66.5000,10
104,abc334_d,0.0000,67.5000,10
105,abc329_d,1.0000,67.5000,10
106,abc399_d,0.0000,68.5000,10
107,abc349_d,0.3333,69.1667,10
108,abc338_a,0.7500,69.4167,10
109,3626,1.0000,69.4167,10
110,abc305_b,1.0000,69.4167,11
111,abc380_a,1.0000,69.4167,11
112,3242,0.0000,70.4167,11
113,arc191_d,0.0000,71.4167,11
114,abc375_a,1.0000,71.4167,11
115,abc333_e,0.3333,72.0833,11
116,3548,0.3333,72.7500,11
117,arc183_d,0.0000,73.7500,11
118,abc336_a,1.0000,73.7500,11
119,3387,0.0000,74.7500,11
120,abc301_d,0.6667,75.0833,12
121,3747,0.0000,76.0833,12
122,3683,0.0000,77.0833,12
123,3269,0.0000,78.0833,12
124,3411,0.0000,79.0833,12
125,3786,0.0000,80.0833,12
126,abc313_b,0.6667,80.4167,12
127,3508,0.6667,80.7500,12
128,abc347_e,1.0000,80.7500,12
129,3580,1.0000,80.7500,12
130,arc186_b,0.0000,81.7500,13
131,3777,0.3333,82.4167,13
132,3397,0.0000,83.4167,13
133,abc356_e,0.0000,84.4167,13
134,arc195_e,0.0000,85.4167,13
135,abc375_g,0.3333,86.0833,13
136,abc372_f,0.0000,87.0833,13
137,abc367_d,0.3333,87.7500,13
138,abc388_g,0.0000,88.7500,13
139,3231,0.0000,89.7500,13
140,abc389_d,1.0000,89.7500,14
141,3207,1.0000,89.7500,14
142,abc367_f,0.5000,90.2500,14
143,abc339_a,0.0000,91.2500,14
144,abc312_c,1.0000,91.2500,14
145,3024,0.0000,92.2500,14
146,abc320_d,0.0000,93.2500,14
147,abc364_e,0.7500,93.5000,14
148,abc366_d,1.0000,93.5000,14
149,abc329_e,0.6667,93.8333,14
150,abc384_e,0.3333,94.5000,15
151,abc373_g,0.0000,95.5000,15
152,3228,0.0000,96.5000,15
153,abc304_d,1.0000,96.5000,15
154,3613,0.0000,97.5000,15
155,3381,0.0000,98.5000,15
156,3686,0.0000,99.5000,15
157,3328,0.5000,100.0000,15
158,abc322_b,1.0000,100.0000,15
159,3468,0.0000,101.0000,15
160,3658,0.0000,102.0000,16
161,2855,0.0000,103.0000,16
162,2817,0.5000,103.5000,16
163,3496,0.0000,104.5000,16
164,3784,0.0000,105.5000,16
165,arc188_d,0.0000,106.5000,16
166,3654,0.0000,107.5000,16
167,3163,0.0000,108.5000,16
168,abc347_b,1.0000,108.5000,16
169,abc330_b,1.0000,108.5000,16
170,3696,0.3333,109.1667,17
171,3487,0.0000,110.1667,17
172,3000,0.0000,111.1667,17
173,abc385_d,0.0000,112.1667,17
174,abc354_c,0.0000,113.1667,17
175,3723,0.0000,114.1667,17
176,3591,0.0000,115.1667,17
177,3226,0.0000,116.1667,17
178,abc343_b,0.0000,117.1667,17
179,abc322_e,0.5000,117.6667,17
180,3603,1.0000,117.6667,18
181,abc362_d,0.3333,118.3333,18
182,arc195_c,0.0000,119.3333,18
183,2870,0.0000,120.3333,18
184,abc386_d,0.7500,120.5833,18
185,abc355_a,1.0000,120.5833,18
186,1883_C,0.0000,121.5833,18
187,3634,1.0000,121.5833,18
188,abc301_f,0.0000,122.5833,18
189,abc369_c,0.3333,123.2500,18
190,3466,0.0000,124.2500,19
191,3174,1.0000,124.2500,19
192,3292,0.0000,125.2500,19
193,abc310_d,0.0000,126.2500,19
194,3423,0.0000,127.2500,19
195,abc355_c,0.0000,128.2500,19
196,3081,0.0000,129.2500,19
197,3317,0.0000,130.2500,19
198,3770,0.6667,130.5833,19
199,3511,1.0000,130.5833,19
200,abc395_c,0.3333,131.2500,20
201,abc343_c,1.0000,131.2500,20
202,abc351_f,1.0000,131.2500,20
203,abc369_b,1.0000,131.2500,20
204,3743,0.0000,132.2500,20
205,abc324_c,0.0000,133.2500,20
206,abc333_d,0.0000,134.2500,20
207,3362,0.3333,134.9167,20
208,3639,0.5000,135.4167,20
209,2884,0.0000,136.4167,20
210,abc352_c,0.0000,137.4167,21
211,abc350_e,0.0000,138.4167,21
212,arc191_c,0.0000,139.4167,21
213,abc318_c,0.0000,140.4167,21
214,3720,0.2500,141.1667,21
215,abc320_c,0.3333,141.8333,21
216,3394,1.0000,141.8333,21
217,arc196_d,0.0000,142.8333,21
218,3361,0.5000,143.3333,21
219,3034,0.0000,144.3333,21
220,abc344_d,0.0000,145.3333,22
221,3621,0.0000,146.3333,22
222,3372,0.0000,147.3333,22
223,abc338_f,0.0000,148.3333,22
224,arc189_c,0.2500,149.0833,22
225,abc308_e,0.0000,150.0833,22
226,3313,0.0000,151.0833,22
227,abc400_g,0.0000,152.0833,22
228,abc358_c,0.3333,152.7500,22
229,2792,0.0000,153.7500,22
230,3492,0.3333,154.4167,23
231,abc374_c,0.3333,155.0833,23
232,abc344_e,1.0000,155.0833,23
233,abc380_e,1.0000,155.0833,23
234,abc348_b,1.0000,155.0833,23
235,3525,0.0000,156.0833,23
236,abc365_a,1.0000,156.0833,23
237,abc304_e,1.0000,156.0833,23
238,3552,0.6667,156.4167,23
239,3171,1.0000,156.4167,23
240,arc185_b,0.0000,157.4167,24
241,abc302_c,1.0000,157.4167,24
242,abc368_c,0.3333,158.0833,24
243,3555,0.0000,159.0833,24
244,abc303_e,0.0000,160.0833,24
245,3236,0.0000,161.0833,24
246,3560,0.6667,161.4167,24
247,abc372_e,0.0000,162.4167,24
248,abc311_d,0.0000,163.4167,24
249,abc373_a,1.0000,163.4167,24
250,3685,0.0000,164.4167,25
251,abc359_e,0.0000,165.4167,25
252,abc321_d,1.0000,165.4167,25
253,abc341_b,0.0000,166.4167,25
254,3464,0.0000,167.4167,25
255,abc398_b,1.0000,167.4167,25
256,3320,0.0000,168.4167,25
257,abc306_e,1.0000,168.4167,25
258,abc351_a,1.0000,168.4167,25
259,3753,1.0000,168.4167,25
260,3446,0.0000,169.4167,26
261,1899_B,0.0000,170.4167,26
262,3279,1.0000,170.4167,26
263,abc314_b,0.0000,171.4167,26
264,abc370_f,0.0000,172.4167,26
