step,pred_api,gold_api,parse_ok,strict_correct,cumulative_regret
0,Car database%%Models,Car database%%Makes,1,0,1.0000
1,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,1.0000
2,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,2.0000
3,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,1,2.0000
4,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,3.0000
5,siteDomain%%language list,siteDomain%%language list,1,1,3.0000
6,BART%%Advisory information,BART%%Advisory information,1,0,4.0000
7,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,5.0000
8,search,search,1,0,6.0000
9,search,search_general,1,0,7.0000
10,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,7.0000
11,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,8.0000
12,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,9.0000
13,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,9.0000
14,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,9.0000
15,forecast_weather,Weather_dataSet%%Weather_dataSet,1,0,10.0000
16,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,10.0000
17,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,10.0000
18,search,getWolframAlphaResults,1,0,11.0000
19,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,11.0000
20,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,11.0000
21,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,12.0000
22,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,12.0000
23,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,12.0000
24,forecast_weather,forecast_weather,1,1,12.0000
25,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,13.0000
26,search,English Talking%%Get an answer,1,0,14.0000
27,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,14.0000
28,search,search_places,1,0,15.0000
29,Token API%%generate,Token API%%generate,1,1,15.0000
30,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,15.0000
