step,pred_api,gold_api,n_icl,strict_correct,cumulative_regret,mem_size
0,Car database%%Models,Car database%%Makes,0,0,1.0000,0
1,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,0,1,1.0000,1
2,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,0,2.0000,1
3,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,1,2.0000,2
4,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,0,3.0000,2
5,siteDomain%%language list,siteDomain%%language list,0,1,3.0000,3
6,BART%%Advisory information,BART%%Advisory information,0,0,4.0000,3
7,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,0,5.0000,3
8,search,search,0,0,6.0000,3
9,search,search_general,0,0,7.0000,3
10,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,7.0000,4
11,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,0,8.0000,4
12,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,9.0000,4
13,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,9.0000,5
14,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,9.0000,6
15,forecast_weather,Weather_dataSet%%Weather_dataSet,3,0,10.0000,6
16,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,10.0000,7
17,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,10.0000,8
18,search,getWolframAlphaResults,3,0,11.0000,8
19,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,11.0000,9
20,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,11.0000,10
21,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,0,12.0000,10
22,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,12.0000,11
23,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,12.0000,12
24,forecast_weather,forecast_weather,3,1,12.0000,13
25,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,13.0000,13
26,search,English Talking%%Get an answer,3,0,14.0000,13
27,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,0,15.0000,13
28,siteDomain%%language list,search_places,3,0,16.0000,13
29,Token API%%generate,Token API%%generate,3,1,16.0000,14
30,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,16.0000,15
31,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,0,17.0000,15
32,siteDomain%%language list,Places%%Geographic coordinates by placename,3,0,18.0000,15
33,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,19.0000,15
34,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,0,20.0000,15
35,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,20.0000,16
36,get_weather_today,get_weather_today,3,1,20.0000,17
37,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%All Characters,3,0,21.0000,17
38,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,21.0000,18
39,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,21.0000,19
40,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,0,22.0000,20
41,thailand%%thai4,thailand%%thai4,3,1,22.0000,21
42,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,3,0,23.0000,21
43,siteDomain%%industry list,siteDomain%%industry list,3,0,24.0000,21
44,search_places,search_places,3,1,24.0000,22
45,thailand%%thai4,thailand%%thai4,3,1,24.0000,23
46,thailand%%thai4,thailand%%thai4,3,1,24.0000,24
47,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,24.0000,25
48,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,3,0,25.0000,25
49,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,25.0000,26
50,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,25.0000,30
51,add_date,add_date,3,1,25.0000,31
52,get_today_date,get_today_date,3,1,25.0000,32
53,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,0,26.0000,32
54,siteDomain%%industry list,siteDomain%%industry list,3,0,27.0000,32
55,BART%%Advisory information,BART%%Advisory information,3,0,28.0000,32
56,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,28.0000,33
57,getWolframAlphaResults,getWolframAlphaResults,3,1,28.0000,34
58,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,28.0000,35
59,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,0,29.0000,35
60,siteDomain%%language list,siteDomain%%language list,3,1,29.0000,36
61,get_weather_today,Weather_dataSet%%Weather_dataSet,3,0,30.0000,36
62,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,30.0000,37
63,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,30.0000,38
64,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,31.0000,38
65,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,31.0000,39
66,search,disambiguation,3,0,32.0000,39
67,Password Generator API%%Password of length 50,Password Generator API%%Base,3,0,33.0000,39
68,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,33.0000,40
69,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,0,34.0000,40
70,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,34.0000,41
71,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,34.0000,42
72,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Scheduled,3,0,35.0000,42
73,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,36.0000,42
74,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,36.0000,43
75,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,37.0000,43
76,forecast_weather,forecast_weather,3,1,37.0000,44
77,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,0,38.0000,44
78,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,0,39.0000,44
79,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,39.0000,45
80,search_places,Places%%Geographic coordinates by placename,3,0,40.0000,45
81,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,40.0000,46
82,Token API%%generate,Token API%%generate,3,1,40.0000,47
83,forecast_weather,Weather_dataSet%%Weather_dataSet,3,0,41.0000,47
84,disambiguation,disambiguation,3,1,41.0000,48
85,get_weather_today,Weather_dataSet%%Weather_dataSet,3,0,42.0000,48
86,siteDomain%%industry list,PTL%%update,3,0,43.0000,48
87,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,0,44.0000,48
88,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,0,45.0000,48
89,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,46.0000,48
90,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,47.0000,48
91,siteDomain%%industry list,siteDomain%%industry list,3,0,48.0000,48
92,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,48.0000,49
93,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,48.0000,50
94,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,48.0000,51
95,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,49.0000,51
96,Car database%%Makes,Car database%%Makes,3,1,49.0000,52
97,siteDomain%%industry list,PTL%%update,3,0,50.0000,52
98,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,50.0000,53
99,get_weather_today,get_weather_today,3,1,50.0000,54
100,JAK_API%%Miraculous,JAK_API%%Miraculous,3,1,50.0000,55
101,search_places,search_places,3,1,50.0000,56
102,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,3,0,51.0000,56
103,get_today_date,get_today_date,3,1,51.0000,57
104,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,1,51.0000,58
105,Password Generator API%%Password of length 50,Password Generator API%%Base,3,0,52.0000,58
106,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,52.0000,59
107,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,52.0000,60
108,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,52.0000,61
109,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,3,1,52.0000,62
110,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,52.0000,63
111,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,52.0000,64
112,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,52.0000,65
113,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,52.0000,66
114,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,52.0000,67
115,get_today_date,Stadia Maps Time Zone API%%TZ Lookup by Location,3,0,53.0000,67
116,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,53.0000,68
117,search_places,Places%%Geographic coordinates by placename,3,0,54.0000,68
118,forecast_weather,forecast_weather,3,1,54.0000,69
119,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,0,55.0000,69
120,get_weather_today,Weather_dataSet%%Weather_dataSet,3,0,56.0000,69
121,Token API%%generate,Token API%%generate,3,1,56.0000,70
122,getWolframAlphaResults,getWolframAlphaResults,3,1,56.0000,71
123,Numbers,getWolframAlphaResults,3,0,57.0000,71
124,disambiguation,disambiguation,3,1,57.0000,72
125,add_date,add_date,3,1,57.0000,73
126,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,57.0000,74
127,add_date,add_date,3,1,57.0000,75
128,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,57.0000,76
129,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,57.0000,77
130,getWolframAlphaResults,getWolframAlphaResults,3,1,57.0000,79
131,get_weather_today,get_weather_today,3,1,57.0000,80
132,thailand%%thai4,thailand%%thai4,3,1,57.0000,81
133,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,57.0000,82
134,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,57.0000,83
135,English Talking%%Get an answer,English Talking%%Get an answer,3,1,57.0000,84
136,getWolframAlphaResults,search_general,3,0,58.0000,84
137,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,58.0000,85
138,JAK_API%%Miraculous,JAK_API%%Miraculous,3,1,58.0000,86
139,English Talking%%Get an answer,English Talking%%Get an answer,3,0,59.0000,86
140,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,59.0000,88
141,disambiguation,PTL%%update,3,0,60.0000,88
142,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,60.0000,89
143,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,60.0000,90
144,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,0,61.0000,90
145,GamerPower%%Live giveaways by type,GamerPower%%Filter & Group Giveaways,3,0,62.0000,90
146,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,3,0,63.0000,90
147,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,63.0000,91
148,get_today_date,get_today_date,3,1,63.0000,92
149,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,0,64.0000,92
150,siteDomain%%industry list,siteDomain%%industry list,3,0,65.0000,92
151,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,65.0000,93
152,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,65.0000,94
153,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,66.0000,94
154,BART%%Advisory information,BART%%Advisory information,3,0,67.0000,94
155,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,67.0000,95
156,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,3,0,68.0000,95
157,siteDomain%%language list,siteDomain%%language list,3,1,68.0000,96
158,get_weather_today,get_weather_today,3,1,68.0000,97
159,siteDomain%%industry list,Places%%Geographic coordinates by placename,3,0,69.0000,97
160,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,69.0000,99
161,Numbers%%Get math fact,Numbers%%Get math fact,3,1,69.0000,100
162,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,69.0000,101
163,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,69.0000,102
164,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,69.0000,103
165,get_weather_today,Stadia Maps Time Zone API%%TZ Lookup by Location,3,0,70.0000,103
166,English Talking%%Get an answer,English Talking%%Get an answer,3,1,70.0000,104
167,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,70.0000,105
168,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,0,71.0000,105
169,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,0,72.0000,105
170,getWolframAlphaResults,search_general,3,0,73.0000,105
171,JAK_API%%Miraculous,JAK_API%%Miraculous,3,1,73.0000,106
172,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,0,74.0000,106
173,siteDomain%%language list,siteDomain%%language list,3,1,74.0000,107
174,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,74.0000,108
175,Car database%%Makes,Car database%%Makes,3,1,74.0000,109
176,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,74.0000,110
177,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,0,75.0000,110
178,Car database%%Makes,Car database%%Makes,3,1,75.0000,111
179,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,75.0000,112
180,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,76.0000,112
181,get_arxiv_article_information,get_arxiv_article_information,3,0,77.0000,112
182,get_weather_today,Weather_dataSet%%Weather_dataSet,3,0,78.0000,112
183,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,78.0000,113
184,English Talking%%Get an answer,English Talking%%Get an answer,3,1,78.0000,114
185,get_today_date,get_today_date,3,1,78.0000,115
186,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,78.0000,116
187,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,3,0,79.0000,116
