problem_id,correct
978,1
933,1
859,0
916,0
127,1
608,1
856,1
260,0
147,1
810,0
635,0
972,1
593,0
994,1
285,0
554,0
467,0
276,1
55,1
61,1
839,0
425,1
82,1
620,1
787,0
2,0
753,0
7,0
903,0
626,0
51,0
557,0
310,1
100,1
848,1
921,1
45,0
976,1
136,1
128,0
605,1
945,1
773,1
941,0
613,1
98,0
758,1
595,0
470,0
25,0
514,0
239,0
980,1
623,1
252,0
662,0
171,0
408,0
993,0
592,1
427,0
457,1
454,1
151,0
756,1
250,0
904,0
324,1
439,0
650,0
238,0
498,1
806,1
629,0
468,0
343,1
664,1
652,1
346,0
381,1
493,1
513,0
563,1
857,1
781,0
135,1
232,1
931,1
426,0
660,1
995,0
36,1
545,1
116,1
434,1
390,0
751,0
797,1
180,1
152,0
38,1
946,0
789,0
558,0
142,0
166,1
990,0
83,0
914,1
230,1
885,0
413,1
125,0
726,0
865,0
638,0
96,0
764,0
79,1
579,1
421,0
179,1
248,1
889,0
771,1
435,1
860,0
582,0
302,1
987,0
131,0
199,0
996,0
898,0
934,1
900,0
150,1
143,1
474,1
371,0
551,0
222,0
835,1
306,1
750,0
963,1
340,1
767,0
830,1
896,0
387,1
66,0
297,0
881,0
814,0
892,0
724,1
991,0
193,1
253,0
236,1
891,1
746,0
315,1
129,1
21,0
373,0
598,0
853,1
130,0
544,0
35,1
867,0
203,0
86,0
146,1
433,1
224,0
218,1
960,1
417,0
552,0
88,0
624,0
445,0
268,0
6,0
630,1
805,0
197,0
950,0
11,0
911,0
356,1
388,0
281,0
511,0
120,1
115,0
29,0
367,1
307,0
206,1
9,0
319,1
185,1
808,0
91,0
836,0
815,0
479,1
154,0
126,0
909,0
455,1
363,1
424,0
278,1
567,0
43,0
243,0
321,1
883,0
304,0
717,1
231,1
550,0
818,1
776,0
328,0
350,1
849,0
201,0
368,1
935,1
107,0
273,1
331,0
409,1
631,1
245,0
783,0
448,1
888,0
169,1
612,0
30,1
542,0
646,1
813,1
241,0
395,1
119,1
902,0
360,0
645,1
614,1
532,0
799,0
712,1
527,0
657,1
581,1
429,1
562,1
793,0
0,0
156,1
28,0
768,0
762,0
588,1
570,0
501,1
944,0
584,1
274,1
887,0
101,1
71,1
464,1
77,1
940,1
937,0
512,0
352,1
92,0
394,0
259,1
868,1
798,0
164,0
244,0
829,1
796,0
444,0
354,0
775,0
330,1
382,1
62,1
878,0
842,1
344,1
745,0
336,1
44,0
163,1
890,1
936,0
153,0
219,0
213,1
591,1
12,0
56,0
133,0
572,0
305,0
955,0
785,0
334,1
288,0
326,1
225,0
576,1
380,0
998,0
803,1
420,0
299,0
447,0
875,1
788,1
872,1
402,0
536,1
761,0
312,1
204,0
217,1
48,0
496,1
14,0
833,1
616,1
659,1
379,0
176,1
539,0
173,0
556,0
546,0
983,1
159,0
50,1
8,0
541,1
298,1
365,1
198,0
60,0
361,0
289,1
975,1
905,0
817,1
748,1
565,0
734,1
237,0
774,0
894,1
988,1
825,0
20,1
480,1
271,1
476,0
834,0
530,0
780,0
986,0
183,0
140,1
393,1
202,0
725,1
743,0
124,1
951,1
59,0
823,1
716,0
766,0
472,1
64,0
234,1
873,1
719,1
585,0
461,0
40,0
977,1
601,1
478,0
589,1
915,0
132,0
72,1
138,1
121,0
46,0
482,0
184,0
53,0
715,1
33,1
966,1
794,0
26,0
415,0
509,0
772,0
374,1
431,0
742,0
168,0
531,0
399,1
471,1
172,0
269,0
596,0
258,0
731,1
879,0
714,1
144,1
463,0
220,0
740,0
85,1
852,1
627,1
723,0
807,0
226,1
110,1
869,1
984,0
663,1
561,1
802,0
729,1
952,1
377,1
351,1
174,0
784,0
155,0
795,0
816,0
964,1
47,0
400,1
97,0
840,0
778,1
211,0
309,1
619,1
845,0
3,0
971,1
192,1
406,1
738,1
80,0
744,0
419,0
357,1
644,1
422,0
923,0
929,1
603,0
208,0
345,0
256,1
145,1
854,1
488,0
713,1
90,0
469,0
800,0
441,1
108,0
404,0
338,0
68,0
575,0
741,0
728,1
747,0
194,0
925,0
569,1
855,1
58,0
462,0
901,0
261,0
398,1
755,0
871,1
459,0
632,0
647,0
580,0
954,1
235,1
280,0
922,0
618,1
573,0
293,1
538,0
178,1
516,0
981,1
229,1
353,0
84,1
607,1
559,1
870,1
282,0
522,0
438,1
160,0
74,0
733,1
938,1
969,1
200,0
757,1
517,0
754,1
979,0
295,1
423,0
118,1
337,1
985,0
947,1
215,1
924,0
54,0
880,0
737,1
847,0
643,1
765,0
446,0
284,0
897,0
874,1
99,0
139,1
926,0
320,1
246,0
23,1
191,1
505,0
264,0
824,1
465,1
792,0
610,0
636,1
653,1
801,1
520,0
436,1
430,1
262,1
242,0
822,1
656,0
594,1
907,1
486,1
103,1
414,0
327,0
104,0
844,0
906,1
841,1
443,1
31,1
383,0
254,1
17,1
24,0
355,1
378,1
782,1
769,1
568,1
460,0
19,1
162,0
16,1
899,0
308,0
968,1
495,1
325,1
73,0
75,0
515,0
831,1
997,0
577,0
913,1
958,0
283,0
574,1
456,1
862,1
639,1
466,1
658,1
777,1
739,1
27,0
249,0
292,1
477,1
265,0
819,1
247,0
858,0
228,0
655,0
876,1
294,1
22,1
210,0
89,0
661,0
148,0
485,1
196,0
917,1
134,0
524,0
882,0
67,0
494,0
866,0
497,1
989,1
519,0
759,1
625,1
957,0
537,1
604,0
358,1
722,1
489,0
233,1
109,0
930,1
412,1
291,1
181,1
587,1
838,0
405,0
391,1
165,0
449,1
846,0
209,0
401,1
649,0
473,1
149,0
959,1
70,1
255,0
37,1
428,1
886,0
566,0
318,1
770,0
322,1
727,1
965,1
949,0
158,0
999,1
95,0
348,0
487,0
175,1
341,1
804,1
186,0
920,0
263,0
411,0
257,0
811,0
316,1
251,0
942,0
600,1
506,0
78,1
240,0
760,1
376,1
214,1
549,0
418,0
884,0
270,0
13,0
492,1
161,0
392,0
216,0
207,1
606,1
112,0
507,1
18,0
665,1
523,0
157,0
205,0
335,1
458,0
223,1
928,1
578,1
521,0
362,0
895,0
510,1
571,0
919,1
407,0
826,0
4,0
94,0
560,1
481,1
499,1
323,1
93,0
843,0
877,0
763,0
389,0
397,1
564,1
32,0
386,0
364,1
453,1
440,0
640,0
633,1
227,0
369,1
642,1
416,0
452,1
81,0
827,1
820,1
863,1
370,1
311,1
450,0
52,1
912,1
342,1
540,1
267,1
721,1
106,0
122,0
396,1
992,1
533,0
730,1
384,1
105,0
266,1
347,0
190,1
864,1
850,0
39,0
339,0
188,0
403,1
525,0
189,0
812,0
87,0
732,1
483,1
5,0
597,0
953,0
442,1
893,1
861,0
385,0
332,1
790,0
359,0
590,1
504,0
962,1
375,0
114,0
170,1
851,0
123,1
301,1
615,1
602,1
711,1
786,0
918,0
508,1
718,1
599,1
221,0
654,0
111,1
475,1
484,0
329,1
279,0
277,1
349,1
956,1
187,0
65,0
974,1
611,0
583,1
948,1
69,0
410,0
637,1
177,1
736,0
982,1
117,1
586,1
372,0
10,1
628,1
927,0
63,1
735,1
500,1
1,0
42,0
634,1
529,0
167,0
809,0
821,1
76,1
313,1
296,0
502,1
490,1
720,1
837,0
543,0
641,1
939,1
617,1
290,1
779,0
910,0
212,1
555,0
967,1
317,1
57,0
791,1
535,0
932,1
272,0
15,0
432,0
503,1
828,1
621,0
137,1
287,0
451,1
528,0
300,1
752,0
622,0
943,0
195,0
34,1
286,0
314,0
970,0
547,0
333,0
182,0
49,0
518,0
102,1
651,1
41,1
553,0
366,0
534,0
275,1
832,1
303,1
113,0
749,0
908,0
437,1
491,1
526,0
141,0
548,0
609,0
961,1
973,0
648,0
