step,problem_id,n_icl,greedy_reward,cumulative_regret,accepted_into_sdft,kl_loss_batch,batch_idx
0,1899_A,0,0.0000,6.0000,0,0.093405,0
1,abc383_e,0,0.0000,6.0000,0,0.093405,0
2,abc315_a,0,1.0000,6.0000,1,0.093405,0
3,3227,0,0.0000,6.0000,0,0.093405,0
4,arc190_c,0,0.0000,6.0000,0,0.093405,0
5,3210,0,1.0000,6.0000,1,0.093405,0
6,arc192_b,0,0.3333,6.0000,0,0.093405,0
7,3605,0,0.0000,6.0000,0,0.093405,0
8,abc398_g,0,0.6667,6.0000,1,0.093405,0
9,abc378_d,0,1.0000,6.0000,1,0.093405,0
10,abc344_a,3,1.0000,12.0000,1,0.069565,1
11,abc374_b,3,1.0000,12.0000,1,0.069565,1
12,3264,3,0.0000,12.0000,0,0.069565,1
13,abc397_d,3,0.0000,12.0000,0,0.069565,1
14,3414,3,0.5000,12.0000,1,0.069565,1
15,arc186_a,3,0.5000,12.0000,1,0.069565,1
16,arc189_b,3,0.0000,12.0000,0,0.069565,1
17,3151,3,0.0000,12.0000,0,0.069565,1
18,abc376_g,3,0.0000,12.0000,0,0.069565,1
19,abc363_a,3,1.0000,12.0000,1,0.069565,1
20,abc380_d,3,0.0000,14.6667,0,0.055869,2
21,abc384_a,3,1.0000,14.6667,1,0.055869,2
22,3384,3,1.0000,14.6667,1,0.055869,2
23,abc303_a,3,1.0000,14.6667,1,0.055869,2
24,abc396_a,3,1.0000,14.6667,1,0.055869,2
25,abc323_b,3,1.0000,14.6667,1,0.055869,2
26,3019,3,1.0000,14.6667,1,0.055869,2
27,abc326_a,3,0.6667,14.6667,1,0.055869,2
28,abc387_c,3,0.0000,14.6667,0,0.055869,2
29,arc188_c,3,0.6667,14.6667,1,0.055869,2
30,abc314_e,3,0.0000,21.0000,0,0.042570,3
31,2881,3,1.0000,21.0000,1,0.042570,3
32,abc391_g,3,0.0000,21.0000,0,0.042570,3
33,abc379_b,3,1.0000,21.0000,1,0.042570,3
34,abc376_b,3,0.0000,21.0000,0,0.042570,3
